,ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
1106,KCLANPO23N000001107,장소,관광지,7777557,드림랜드캠핑장,,,60520,캠핑장,4723038029103880000,경상북도,영천시,고경면,용전리,388,4723038029,4723038000,472304730030.0,고도길,38,129.0002734,35.98388784,마마352773,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
1337,KCLANPO23N000001338,장소,관광지,8268396,공산폭포,,,60504,폭포/계곡,4723032021201430000,경상북도,영천시,신녕면,치산리,산143,4723032021,4723032000,,,,128.7226482,36.02831738,마마101819,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
1569,KCLANPO23N000001570,장소,관광지,8268665,안흥폭포,,,60504,폭포/계곡,4723031030200250001,경상북도,영천시,청통면,치일리,산25-1,4723031030,4723031000,472303354069.0,은해사로,417-197,128.7695037,35.98712346,마마144774,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
1719,KCLANPO23N000001720,장소,관광지,8268847,팔공폭포,,,60504,폭포/계곡,4723032021201430000,경상북도,영천시,신녕면,치산리,산143,4723032021,4723032000,,,,128.7204147,36.03047459,마마099822,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2164,KCLANPO23N000002165,장소,관광지,8269598,옥간정,,,60603,유명사적/유적지,4723034030104390003,경상북도,영천시,화북면,횡계리,439-3,4723034030,4723034000,472303310010.0,별빛로,122,128.9479378,36.11477918,마마303918,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2465,KCLANPO23N000002466,장소,관광지,8269983,산수정,,,60603,유명사적/유적지,4723037024110200000,경상북도,영천시,임고면,삼매리,1020,4723037024,4723037000,472304730291.0,삼매매곡길,356-6,128.9767019,36.0731488,마마329872,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2470,KCLANPO23N000002471,장소,관광지,8269989,유금사3층석탑,,,60606,비/탑/문/각,4723034029202260000,경상북도,영천시,화북면,정각리,산226,4723034029,4723034000,,,,128.9929922,36.1509422,마마343959,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2509,KCLANPO23N000002510,장소,관광지,8270033,숭열당,,,60605,보물,4723010900100090002,경상북도,영천시,성내동,,9-2,4723010900,4723053500,472304730378.0,숭렬당길,1,128.9289225,35.96640578,마마288753,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2534,KCLANPO23N000002535,장소,관광지,8270059,청제비,,,60605,보물,4723012600200070001,경상북도,영천시,도남동,,산7-1,4723012600,4723055500,,,,128.9408883,35.92510698,마마299707,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2794,KCLANPO23N000002795,장소,관광지,8270362,강호정,,,60608,고택/생가/민속마을,4723036028200780007,경상북도,영천시,자양면,성곡리,산78-7,4723036028,4723036000,,,,129.015677,36.07802926,마마364878,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2809,KCLANPO23N000002810,장소,관광지,8270386,독낙당,,,60608,고택/생가/민속마을,4723036025102630000,경상북도,영천시,자양면,용산리,263,4723036025,4723036000,472304730536.0,원각길,50-76,129.0364961,36.08998244,마마383892,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2907,KCLANPO23N000002908,장소,관광지,8270511,용계서원,,,60609,서원/향교/서당,4723036025103030000,경상북도,영천시,자양면,용산리,303,4723036025,4723036000,472304730536.0,원각길,45-4,129.0354814,36.0896353,마마382891,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2947,KCLANPO23N000002948,장소,관광지,8270556,도계서원,,,60609,서원/향교/서당,4723039030200040000,경상북도,영천시,북안면,도천리,산4,4723039030,4723039000,472304730405.0,신평탑골길,93-59,129.0230188,35.88911069,마마374669,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2964,KCLANPO23N000002965,장소,관광지,8270583,임고서원,,,60609,서원/향교/서당,4723037021104930000,경상북도,영천시,임고면,양항리,493,4723037021,4723037000,472303018008.0,포은로,447,128.9732314,36.01665848,마마327809,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
3402,KCLANPO23N000003403,장소,관광지,8292185,치산관광지,,,60513,일반관광지,4723032021115760000,경상북도,영천시,신녕면,치산리,1576,4723032021,4723032000,,,,128.7114429,36.04941098,마마091842,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
