번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1,간이화장실,,사미정계곡 권현덕 집 강 건너편,,경상북도 봉화군 명호면 삼동리 464번지,1,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,1995-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-06-19
2,공중화장실,,봉화농업기술센터,경상북도 봉화군 봉성면 농업인길 24,경상북도 봉화군 봉성면 금봉리 904,7,7,2,3,3,0,7,2,0,봉화군농업기술센터,054-679-6814,,8,,36.903794,128.772629,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
3,공중화장실,,춘양시장,,경상북도 봉화군 춘양면 의양리 402,1,3,1,1,1,0,4,1,0,춘양시장상인회,054-674-3080,,24,2015-01,35.18848,128.9904,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,Y,Y,여자화장실,2017-11,2020-04-30
4,공중화장실,,청소년센터,경상북도 봉화군 봉화읍 내성로1길 17-20,,10,12,1,0,0,0,19,1,0,봉화군 청소년센터,054-679-6685,,16,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
5,간이화장실,,오전2리생달,,경상북도 봉화군 물야면 오전리 200-1,1,0,0,0,0,0,2,0,0,물야면사무소,054-679-5121,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
6,간이화장실,,오록2리체육공원,,경상북도 봉화군 물야면 오록리 308-1,2,1,0,0,0,0,2,0,0,물야면사무소,054-679-5121,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
7,간이화장실,,오록2리산위,,경상북도 봉화군 물야면 오록리 347,1,0,0,0,0,0,1,0,0,물야면사무소,054-679-5121,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
8,간이화장실,,압동3리솔밭,,경상북도 봉화군 물야면 압동리 40,1,0,0,0,0,0,1,0,0,물야면사무소,054-679-5121,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
9,간이화장실,,개단2리당숲,,경상북도 봉화군 물야면 개단리 1112-1,1,0,0,0,0,0,1,0,0,물야면사무소,054-679-5121,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
10,개방화장실,,물야중학교,경상북도 봉화군 물야면 오록리 465,경상북도 봉화군 물야면 오록4길 12,2,3,0,1,1,0,3,0,0,물야중학교,054-672-2008,,8,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
11,개방화장실,,물야면보건지소,경상북도 봉화군 물야면 문수로 1025-28,경상북도 봉화군 물야면 오록리 425-6,2,1,1,0,0,0,1,0,0,봉화군보건소,054-679-5223,,8,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
