,번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,시군구명,읍면동명,설치연도,기저귀교환대,CCTV,비상벨,장애인화장실,어린이대변기
3145,3146,개방화장실,법제3조제6호,영천(대구)휴게소,경상북도 영천시 임고면 운주로 791,경상북도 영천시 임고면 금대리 99,16,11,1,1,1,0,33,1,1,한국도로공사,054-338-0037,상시,,2004-11,36.0534003,129.0442412,공공기관-국가공공기관,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-08-05,영천시,임고면,2004.0,True,True,True,True,True
3146,3147,개방화장실,법제3조제6호,영천(포항방향)휴게소,"경상북도 영천시 임고면 운주로 777, 영천(포항방향)주유소",경상북도 영천시 임고면 금대리 103 영천(포항방향)주유소,16,11,1,1,1,0,33,1,1,한국도로공사,054-338-0062,상시,,2004-11,36.0513146,129.0425047,공공기관-국가공공기관,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-08-05,영천시,임고면,2004.0,True,True,True,True,True
3147,3148,개방화장실,법제3조제16호-영제3조제1항제1호,국립영천호국원,"경상북도 영천시 고경면 호국로 1720, 국립영천호국원",경상북도 영천시 고경면 청정리 700 국립영천호국원,21,28,5,3,2,2,40,5,2,국립영천호국원,054-330-0850,정시,09:00~18:00,2001-01,35.9803943,129.1092773,공공기관-국가공공기관,수세식,Y,N,없음,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,고경면,2001.0,True,False,False,True,True
3148,3149,개방화장실,법제3조제16호-영제3조제1항제1호,국민건강보험공단영천지사,"경상북도 영천시 중앙동1길 45, 국민건강보험공단 (문외동)",경상북도 영천시 문외동 138-5 국민건강보험공단,2,2,2,1,0,0,2,1,0,국민건강보험공단영천지사,054-330-0710,정시,주중(09:00~18:00),2008-03,35.9736706,128.9332622,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,남자화장실+여자화장실,N,Y,여자화장실,,2024-08-05,영천시,문외동,2008.0,True,False,True,True,False
3149,3150,공중화장실,법제3조제5호,신녕천 고향의 강 공중화장실(2),,경상북도 영천시 쌍계동 504-14,1,3,1,0,0,0,2,1,0,영천시공원관리사업소,,상시,,2018-12,35.9662332,128.9110337,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,없음,,2024-08-05,영천시,쌍계동,2018.0,False,False,True,True,False
3150,3151,공중화장실,법제3조제5호,신녕천 고향의 강 공중화장실(1),,경상북도 영천시 쌍계동 81-1,1,3,1,0,0,0,2,1,0,영천시공원관리사업소,,상시,,2018-12,35.9635827,128.9147521,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,없음,,2024-08-05,영천시,쌍계동,2018.0,False,False,True,True,False
3151,3152,공중화장실,법제3조제13호,오수동공원 공중화장실(2),,경상북도 영천시 금호읍 봉죽리 526,1,0,0,0,0,0,1,0,0,영천시새마을체육과,,상시,,2018-01,35.948322,128.9197665,공공기관-지방자치단체,수거식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,금호읍,2018.0,False,False,True,False,False
3152,3153,공중화장실,법제3조제13호,은해사체육시설,,경상북도 영천시 청통면 치일리 98-7,1,2,1,0,0,0,3,1,0,영천시청통면행정복지센터,,상시,,2019-01,35.9922285,128.8009904,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,청통면,2019.0,True,False,True,True,False
3153,3154,공중화장실,법제3조제5호,신녕천강변공원,"경상북도 영천시 신녕면 치산효령로 15-8, 신녕천 강변공원 공중화장실",경상북도 영천시 신녕면 화성리 1003-25 신녕천 강변공원 공중화장실,1,2,0,0,0,0,2,1,0,영천시신녕면행정복지센터,,상시,,2017-01,36.0428623,128.7858533,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,신녕면,2017.0,False,False,True,True,False
3154,3155,공중화장실,법제3조제13호,오수동공원 공중화장실(1),경상북도 오수5길 107,경상북도 영천시 오수동 434-1,1,2,0,0,0,0,2,0,0,영천시새마을체육과,,상시,,2018-01,35.9525091,128.9198868,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,오수동,2018.0,False,False,True,False,False
