유형 중분류명,유형 소분류명,중분류 검색건 수,중분류 검색건 수(비율),소분류 검색건 수,소분류 검색건 수(비율)
기타관광,교통시설,94480,13.8,39133,41.4
기타관광,기타관광,94480,13.8,55347,58.6
레저스포츠,기타레저스포츠,104001,15.2,1891,1.8
레저스포츠,육상레저스포츠,104001,15.2,101950,98.0
레저스포츠,수상레저스포츠,104001,15.2,160,0.2
문화관광,도시/지역문화관광,55877,8.2,31,0.1
문화관광,도시공원,55877,8.2,24942,44.6
문화관광,랜드마크관광,55877,8.2,1188,2.1
문화관광,기타문화관광지,55877,8.2,5804,10.4
문화관광,테마공원,55877,8.2,3186,5.7
문화관광,레저스포츠시설,55877,8.2,2791,5.0
문화관광,복합관광시설,55877,8.2,85,0.2
문화관광,공연시설,55877,8.2,6329,11.3
문화관광,전시시설,55877,8.2,11521,20.6
쇼핑,시장,31437,4.6,31437,100.0
숙박,모텔,52765,7.7,19980,37.9
숙박,펜션/민박,52765,7.7,4353,8.2
숙박,호텔,52765,7.7,3631,6.9
숙박,기타숙박,52765,7.7,134,0.3
숙박,캠핑,52765,7.7,24667,46.7
역사관광,역사유물,80571,11.8,845,1.0
역사관광,역사유적지,80571,11.8,18818,23.4
역사관광,종교성지,80571,11.8,60908,75.6
음식,간이음식,229630,33.6,22879,10.0
음식,외국식,229630,33.6,10605,4.6
음식,전문음식,229630,33.6,20000,8.7
음식,한식,229630,33.6,131257,57.2
음식,음식점기타,229630,33.6,344,0.1
음식,카페/찻집,229630,33.6,44545,19.4
자연관광,자연경관(산),26629,3.9,6513,24.5
자연관광,자연경관(하천/해양),26629,3.9,6785,25.5
자연관광,자연공원,26629,3.9,13331,50.1
체험관광,농/산/어촌체험,8512,1.2,2297,27.0
체험관광,웰니스관광,8512,1.2,6212,73.0
체험관광,공예체험,8512,1.2,3,0.0
