기준연월,목적지 유형,목적지 검색량
202303,전체,45743
202304,전체,47868
202306,전체,45371
202307,전체,43469
202309,전체,68849
202305,전체,52630
202308,전체,49104
202301,전체,34132
202302,전체,34464
202310,전체,71262
202311,전체,47327
202312,전체,38046
202303,숙박,4417
202303,음식,11351
202303,기타관광,6327
202303,쇼핑,2406
202303,문화관광,4543
202303,역사관광,5570
202303,자연관광,1233
202303,체험관광,455
202303,레저스포츠,9441
202304,숙박,5084
202304,음식,12917
202304,기타관광,6651
202304,쇼핑,2694
202304,문화관광,2160
202304,역사관광,6448
202304,자연관광,733
202304,체험관광,393
202304,레저스포츠,10788
202306,기타관광,5261
202306,숙박,4303
202306,음식,12299
202306,쇼핑,2308
202306,문화관광,2639
202306,역사관광,5825
202306,자연관광,1012
202306,체험관광,219
202306,레저스포츠,11505
202307,기타관광,5311
202307,숙박,4389
202307,음식,12980
202307,쇼핑,2463
202307,문화관광,2204
202307,역사관광,5058
202307,자연관광,1123
202307,체험관광,231
202307,레저스포츠,9710
202309,숙박,4793
202309,음식,15498
202309,기타관광,14853
202309,문화관광,6045
202309,쇼핑,4126
202309,역사관광,10365
202309,자연관광,2064
202309,체험관광,364
202309,레저스포츠,10741
202305,숙박,4480
202305,음식,15061
202305,기타관광,5817
202305,쇼핑,2816
202305,문화관광,2746
202305,역사관광,8793
202305,자연관광,936
202305,체험관광,258
202305,레저스포츠,11723
202308,숙박,5210
202308,음식,14262
202308,기타관광,6302
202308,쇼핑,2945
202308,문화관광,3513
202308,역사관광,5526
202308,자연관광,1634
202308,체험관광,245
202308,레저스포츠,9467
202301,숙박,2578
202301,음식,9603
202301,기타관광,5220
202301,쇼핑,2619
202301,문화관광,2212
202301,역사관광,5972
202301,자연관광,1391
202301,체험관광,449
202301,레저스포츠,4088
202302,숙박,2795
202302,음식,9469
202302,기타관광,4841
202302,쇼핑,2290
202302,문화관광,2397
202302,역사관광,4733
202302,자연관광,1231
202302,체험관광,513
202302,레저스포츠,6195
202310,기타관광,16530
202310,문화관광,8857
202310,숙박,5920
202310,음식,14815
202310,쇼핑,3131
202310,역사관광,8452
202310,자연관광,1839
202310,체험관광,250
202310,레저스포츠,11468
202311,기타관광,8632
202311,문화관광,3355
202311,숙박,4161
202311,음식,11229
202311,쇼핑,2482
202311,역사관광,6482
202311,자연관광,1299
202311,체험관광,311
202311,레저스포츠,9376
202312,기타관광,7153
202312,숙박,3441
202312,음식,11277
202312,쇼핑,2164
202312,문화관광,2706
202312,역사관광,4227
202312,자연관광,1103
202312,체험관광,377
202312,레저스포츠,5598
