거주지명,광역지자체 비율(%),기초지자체 비율(%)
대구광역시 군위군,33.7,0.741
대구광역시 남구,33.7,1.599
대구광역시 동구,33.7,8.447
대구광역시 수성구,33.7,7.101
대구광역시 달서구,33.7,5.27
대구광역시 달성군,33.7,2.201
대구광역시 북구,33.7,5.854
대구광역시 서구,33.7,1.461
대구광역시 중구,33.7,1.037
경상북도 경주시,32.2,5.031
경상북도 김천시,32.2,0.375
경상북도 안동시,32.2,0.663
경상북도 구미시,32.2,1.823
경상북도 영주시,32.2,0.261
경상북도 상주시,32.2,0.255
경상북도 문경시,32.2,0.136
경상북도 경산시,32.2,13.251
경상북도 의성군,32.2,0.4
경상북도 청송군,32.2,0.789
경상북도 영양군,32.2,0.075
경상북도 영덕군,32.2,0.236
경상북도 청도군,32.2,0.311
경상북도 고령군,32.2,0.19
경상북도 성주군,32.2,0.23
경상북도 칠곡군,32.2,0.763
경상북도 예천군,32.2,0.236
경상북도 봉화군,32.2,0.057
경상북도 울진군,32.2,0.2
경상북도 울릉군,32.2,0.081
경상북도 포항시 남구,32.2,2.786
경상북도 포항시 북구,32.2,3.878
경기도 고양시 덕양구,4.7,0.115
경기도 고양시 일산동구,4.7,0.071
경기도 고양시 일산서구,4.7,0.059
경기도 성남시 수정구,4.7,0.072
경기도 성남시 중원구,4.7,0.065
경기도 성남시 분당구,4.7,0.192
경기도 수원시 장안구,4.7,0.071
경기도 수원시 권선구,4.7,0.133
경기도 수원시 팔달구,4.7,0.061
경기도 수원시 영통구,4.7,0.133
경기도 안산시 상록구,4.7,0.106
경기도 의정부시,4.7,0.14
경기도 안산시 단원구,4.7,0.1
경기도 안양시 만안구,4.7,0.062
경기도 부천시,4.7,0.191
경기도 광명시,4.7,0.071
경기도 평택시,4.7,0.276
경기도 동두천시,4.7,0.023
경기도 안양시 동안구,4.7,0.098
경기도 용인시 처인구,4.7,0.112
경기도 용인시 기흥구,4.7,0.191
경기도 용인시 수지구,4.7,0.131
경기도 과천시,4.7,0.026
경기도 구리시,4.7,0.063
경기도 남양주시,4.7,0.222
경기도 오산시,4.7,0.101
경기도 시흥시,4.7,0.149
경기도 군포시,4.7,0.081
경기도 의왕시,4.7,0.051
경기도 하남시,4.7,0.11
경기도 파주시,4.7,0.127
경기도 이천시,4.7,0.103
경기도 안성시,4.7,0.087
경기도 김포시,4.7,0.127
경기도 화성시,4.7,0.368
경기도 광주시,4.7,0.199
경기도 양주시,4.7,0.07
경기도 포천시,4.7,0.053
