관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,360도전방면,30,2016-12-01,054-330-6663,35.9664777,128.9276036,2022-11-29
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,정동,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2022-11-29
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,정북,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2022-11-29
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,남동,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2022-11-29
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,북동,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2022-11-29
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,360도전방면,30,2012-06-01,054-330-6663,35.9689985,128.9278449,2022-11-29
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,정동,30,2013-02-01,054-330-6663,35.9689985,128.9278449,2022-11-29
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,정북,30,2013-02-01,054-330-6663,35.9689985,128.9278449,2022-11-29
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,남동,30,2013-02-01,054-330-6663,35.9689985,128.9278449,2022-11-29
영천시청,경상북도 영천시 금노동 금단4길,경상북도 영천시 금노동 542-19 (담안길 공원 앞),생활방범,1,200,360도전방면,30,2019-10-01,054-330-6663,35.9611308,128.9301108,2022-11-29
영천시청,경상북도 영천시 금노동 금단4길,경상북도 영천시 금노동 542-19 (담안길 공원 앞),생활방범,1,200,정북,30,2019-10-01,054-330-6663,35.9611308,128.9301108,2022-11-29
영천시청,경상북도 영천시 금노동 금단4길,경상북도 영천시 금노동 542-19 (담안길 공원 앞),생활방범,1,200,남동,30,2019-10-01,054-330-6663,35.9611308,128.9301108,2022-11-29
영천시청,경상북도 영천시 금호읍 교대리 성천앞길,경상북도 영천시 금호읍 교대리 1-29 (금호여자중포은고등학교),생활방범,1,200,360도전방면,30,2014-12-01,054-330-6663,35.9401864,128.8773702,2022-11-29
영천시청,경상북도 영천시 금호읍 교대리 성천앞길,경상북도 영천시 금호읍 교대리 1-29 (금호여자중포은고등학교),생활방범,1,200,정북,30,2014-12-01,054-330-6663,35.9401864,128.8773702,2022-11-29
영천시청,경상북도 영천시 금호읍 교대리 성천앞길,경상북도 영천시 금호읍 교대리 1-29 (금호여자중포은고등학교),생활방범,1,200,남동,30,2014-12-01,054-330-6663,35.9401864,128.8773702,2022-11-29
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,360도전방면,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2022-11-29
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,정동,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2022-11-29
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,정북,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2022-11-29
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,남동,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2022-11-29
