카테고리,업체명,주소,위도,경도,전화번호,기타
가성비,NAVID(나비드),"경상북도 영천시 신녕면 치산관광길 175, 1층",36.05565671,128.7160181,0507-1348-9351,카페
가성비,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,053-384-6373,카페
가성비,감성커피 영천시청점,경상북도 영천시 충효로 81 (문외동),35.97376409,128.9380887,0507-1485-0921,카페
가성비,곰돌이탕후루,"경상북도 영천시 무궁화길 31, 1층 (문외동)",35.97334539,128.9363097,0507-1486-2456,카페
가성비,공차 영천시청점,"경상북도 영천시 충효로 75, 1층 (문외동)",35.97339131,128.9373525,054-337-0453,카페
가성비,카페움,경상북도 영천시 강변로 4 (성내동),35.96250184,128.9236761,0507-1484-1037,카페
가성비,느루,"경상북도 영천시 문외1길 23, 104호 (문외동)",35.9703098,128.9349322,0507-1412-2291,카페
가성비,단아,"경상북도 영천시 천문로 485, 동의참누리원영천한의마을 카페테리아 (화룡동)",35.97785256,128.9222696,010-2012-2690,카페
가성비,달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,054-337-5009,카페
가성비,담숨,"경상북도 영천시 대창면 금창로 1095-60, 나무와 학교",35.86858579,128.9412194,0507-1435-8070,카페
가성비,더드림커피 영천신녕점,"경상북도 영천시 신녕면 장수로 1607, 전면 우측 두번째 상가 (11)호",36.03534367,128.7901813,0507-1364-9264,카페
가성비,더렁즈커피,경상북도 영천시 서문길 97-3 (교촌동),35.96648103,128.9277581,054-927-2185,카페
가성비,더리터 영천한신점,"경상북도 영천시 망정1길 174, 정암빌딩 113호 (망정동)",35.98140772,128.9517077,,카페
가성비,더벤티 영천점,경상북도 영천시 시장로 41 (완산동),35.96352435,128.9347745,0507-2085-1666,카페
가성비,더브릿지 카페,"경상북도 영천시 화북면 배나무정길 14, (입석리)",36.13618297,128.9505762,,카페
가성비,더블류콜렉션,"경상북도 영천시 중앙동1길 52, 1층 (문외동)",35.97408815,128.9335243,070-8801-6756,카페
가성비,듀잇(DEW IT),"경상북도 영천시 언하공단로 91-14, 1,2층 (망정동)",35.98500176,128.954235,0507-1485-2602,카페
가성비,디카프리 완산,경상북도 영천시 강남길 49 (완산동),35.96633767,128.9380672,0507-1301-0619,카페
가성비,로아카페,"경상북도 영천시 신녕면 장수로 1617, 1층 전면 우측 2번째호",36.03608743,128.7894675,,카페
가성비,루머팡(커피숍),경상북도 영천시 천문로 55 (도동),35.94352592,128.9288305,,카페
가성비,리버뷰,"경상북도 영천시 최무선로 318, 1층 (문외동)",35.96818928,128.9340978,0507-1328-4155,카페
가성비,마누리커피,경상북도 영천시 임고면 승마휴양림길 62-16,36.03070484,128.9985374,054-339-7198,카페
가성비,마시담,"경상북도 영천시 약초시장길 5, 영천약초시장 E동 115호 (도동)",35.94239714,128.9314329,,카페
가성비,마실커피숍,"경상북도 영천시 신녕면 치산효령로 2, 1층",36.04354618,128.7873225,054-333-3339,카페
가성비,마실커피화남점,경상북도 영천시 화남면 천문로 1709-2,36.06734214,128.8995585,054-336-1909,카페
가성비,멍 애견카페,경상북도 영천시 임고면 포은로 185,35.99388038,128.9664752,054-336-5774,카페
가성비,메가엠지씨커피 영천IC점,"경상북도 영천시 영천아이시로 42, 주2동 1층 (봉동)",35.93521177,128.9443704,054-338-8111,카페
가성비,메가엠지씨커피 영천시청점,경상북도 영천시 충효로 75-2 (문외동),35.97351566,128.9375868,,카페
가성비,메르아포레,"경상북도 영천시 산업단지로 314, 2층 (봉동)",35.93263817,128.9484179,,카페
가성비,멜빈커피,"경상북도 영천시 시장로 120, 완산골드타워 113호 (완산동)",35.96347199,128.9437538,,카페
가성비,모네,"경상북도 영천시 금호읍 거여로 426-5, 화랑설화마을",35.92838829,128.9224696,,카페
가성비,모닝웨이,"경상북도 영천시 완산5길 25, 102호 (완산동, 완산미소지움)",35.96744519,128.9416503,0507-1474-1600,카페
가성비,몬스터커피 영천완산e편한세상점,"경상북도 영천시 시장로 106, 105,106(일부)호 (완산동)",35.96338795,128.9418349,0507-2093-8060,카페
가성비,몽글몽글,"경상북도 영천시 야사시장길 42, 103호 (야사동)",35.97321807,128.947917,0507-1383-7622,카페
가성비,민정사주카페,경상북도 영천시 금완로 39 (금노동),35.96057684,128.9325003,054-332-7982,카페
가성비,바빈스커피 완산점,"경상북도 영천시 완산중앙3길 29-1, 1층 (완산동)",35.96249613,128.9371791,0507-1856-7280,카페
가성비,별내린 커피,경상북도 영천시 화남면 천문로 1506,36.05251089,128.8930409,0507-1341-8184,카페
가성비,별담은호수,경상북도 영천시 화북면 은하수길 27,36.12995937,128.9534562,010-4907-3108,카페
가성비,보현산 녹색체험터 그린카페(카페브리즈),"경상북도 영천시 화북면 천문로 2178, 자천중학교 보현산녹색체험터",36.10565105,128.916722,010-3824-7786,카페
가성비,보현산 전망대카페,"경상북도 영천시 화북면 천문로 2610, 별빛전망대 3층",36.12702695,128.952743,010-5695-5684,카페
가성비,봄봄(영천점),"경상북도 영천시 충효로 62, 1층 (문외동)",35.97256005,128.9364667,054-333-3366,카페
가성비,봉봉(bonbon),"경상북도 영천시 완산8길 3, 104호 (완산동)",35.96164319,128.9413596,010-8241-2154,카페
가성비,블루웨이 영천점,"경상북도 영천시 중앙동1길 129, 2층 (문내동)",35.97446325,128.9304906,0507-1357-4000,카페
가성비,빽다방 영천시청점,경상북도 영천시 충효로 74 (문외동),35.973218,128.9376165,0507-0289-9415,카페
가성비,빽다방 영천완산점,경상북도 영천시 시장로 53 (완산동),35.96359551,128.9360502,0507-0289-9416,카페
가성비,산과보롬,"경상북도 영천시 중앙동1길 103, 106호 (문내동)",35.97499502,128.93165,054-336-7778,카페
가성비,살롱 드 제이드,경상북도 영천시 금호읍 금호로 30,35.92948271,128.8651456,,카페
가성비,샐리(sally),경상북도 영천시 중앙동4길 20 (문외동),35.97316945,128.9334469,054-338-3282,카페
가성비,서원앞,경상북도 영천시 임고면 포은로 446,36.01629192,128.974659,,카페
가성비,설렘디저트,"경상북도 영천시 호국로 93-1, 2층 (야사동)",35.97514095,128.9475187,0507-1318-0623,카페
가성비,성아케이크,"경상북도 영천시 창신1길 35, 104호 (망정동, 아이존빌상가 )",35.98992668,128.9526087,0507-1332-2787,카페
가성비,세븐일레븐 영천북안터미널점,경상북도 영천시 북안면 운북로 2032-1,35.91867061,129.008848,054-335-4529,카페
가성비,소디스커피,경상북도 영천시 창신2길 27 (망정동),35.98867631,128.95683,0507-1321-8497,카페
가성비,속닥속닥,"경상북도 영천시 금호읍 금호시장길 19, 1층",35.9323609,128.8758935,054-927-3033,카페
가성비,수 갤러리&카페,경상북도 영천시 임고면 포은로 782,36.04265862,128.9851274,0507-1332-8392,카페
가성비,스러운,경상북도 영천시 청산길 24 (전면 좌측 세번째호) 103호 (문외동),35.97350258,128.9358015,0507-1398-9321,카페
가성비,스타벅스영천완산디티(DT),"경상북도 영천시 영화로 272, 1,2층 (완산동)",35.9669897,128.9491175,054-337-4218,카페
가성비,스타티오,"경상북도 영천시 운동장로 94, 영천시종합스포츠센터 1층 (교촌동)",35.97119228,128.9234116,010-6412-7719,카페
가성비,시애틀,경상북도 영천시 조양길 3 (문내동),35.96805372,128.9329875,010-5154-5435,카페
가성비,쓰리에이치 카페,경상북도 영천시 망정로 30 (망정동),35.97917473,128.953699,054-332-7600,카페
가성비,아버케이크(ARBOR CAKE),"경상북도 영천시 문외1길 47, 1층 (문외동)",35.97129756,128.9342453,0507-1383-0785,카페
가성비,아벨리안 영남대학교병원점,경상북도 영천시 오수1길 10 (오수동),35.95708746,128.9127824,054-338-8599,카페
가성비,안녕 첫즙(#안녕_첫즙),경상북도 영천시 호국로 54 (야사동),35.97303495,128.9437126,,카페
가성비,어울림센터 운영위원회(어울림카페),"경상북도 영천시 금호읍 교대1길 22, 주1동",35.93255566,128.875142,,카페
가성비,에그마카슈,"경상북도 영천시 역전로 51-3, 1층 (완산동)",35.96052768,128.9387966,054-336-1752,카페
가성비,에멍쁘아,경상북도 영천시 천문로 524-52 (오미동),35.98239901,128.9252612,0507-1364-1854,카페
가성비,영천상회(카페),경상북도 영천시 완산로 18 (영천역 방향 2번째호) (완산동),35.961704,128.9393537,0507-0288-9520,카페
가성비,영천이마트 더카페,"경상북도 영천시 최무선로 83 (오수동, 이마트내)",35.95843357,128.9099932,,카페
가성비,영천카페 웰시,"경상북도 영천시 포교당뒷길 1, 전면 좌측호 (교촌동)",35.96547467,128.9261942,0507-0178-2078,카페
가성비,영천호국정 커피점,"경상북도 영천시 고경면 호국로 1720, 국립영천호국원",35.98182148,129.1099842,054-281-0306,카페
