카테고리,업체명,주소,위도,경도,전화번호,기타
사찰,거동사,경상북도 영천시 자양면 사곡길 77-81(자양면),36.15028704,129.0267561,054-336-8165,템플스테이 없음
사찰,거조사,경상북도 영천시 청통면 거조길 400-67,36.0203294,128.7648349,054-335-1369,템플스테이 없음
사찰,만불사(영천),경상북도 영천시 북안면 고지리 857-5,35.91030283,129.0329207,054-335-0101,템플스테이 없음
사찰,묘각사(영천),경상북도 영천시 자양면 용화길 499,36.11518096,129.0088094,054-336-6633,템플스테이 없음
사찰,봉림사(영천),경상북도 영천시 화북면 천문로 2149-368,36.12617697,128.8978888,054-337-3413,템플스테이 없음
사찰,부귀사(영천),경상북도 영천시 신녕면 칠발골길 446,36.02565658,128.7479089,054-332-0910,템플스테이 없음
사찰,수도사(영천),경상북도 영천시 신녕면 치산관광길 404 수도사,36.03962708,128.7179625,054-337-0730,템플스테이 없음
사찰,신녕포교당,경상북도 영천시 신녕면 동산길 11,36.04094682,128.7900248,054-332-0271,템플스테이 없음
사찰,영지사,경상북도 영천시 대창면 영지길 47길(대창면),35.84436094,128.9512883,054-336-4041,템플스테이 가능
사찰,영천신흥사,경상북도 영천시 금호읍 금호로 360-29(금호읍),35.93729979,128.8986443,054-334-1101,템플스테이 없음
사찰,영천포교당,경상북도 영천시 서문길 69,35.96600457,128.9260941,054-334-3526,템플스테이 없음
사찰,은해사(영천),경상북도 영천시 청통면 금송로 1038,35.99646983,128.8204084,054-335-3318,템플스테이 가능
사찰,죽림사(영천),경상북도 영천시 금호읍 죽방길 279-57,35.94570813,128.916925,0507-1416-1310,템플스테이 없음
사찰,한광사,경상북도 영천시 신녕면 권응수길 126,36.08420378,128.7666311,054-332-0772,템플스테이 없음
