카테고리,업체명,주소,위도,경도,전화번호,기타
가성비,개미식당,경상북도 영천시 옛군청4길 12(문내동),35.9682723,128.931526,054-331-1328,정식+돼지김치찌개
가성비,석계손칼국수,경상북도 영천시 고경면 호국로 1457-10,35.9964162,129.086033,054-337-3521,칼국수+두부
가성비,가위사랑미용실,경상북도 영천시 천문로 359,35.969598,128.930267,054-332-9051,컷트
가성비,영동미용실,경상북도 영천시 호국로 30,35.9720067,128.941516,054-332-2737,컷트+파마
가성비,필미용실,경상북도 영천시 호국로 52,35.9730364,128.943524,054-333-6733,컷트+파마
가성비,안동숯불,경상북도 영천시 상록4길 25(야사동),35.9744758,128.940414,054-333-9934,한우갈비살+한우등심
가성비,푸짐한쌈밥 한식,경상북도 영천시 약전길 16(완산동),35.96101439,128.9399442,054-337-3839,쌈밥한식+두루치기
가성비,할매칼국수,경상북도 영천시 중앙동2길 96(문내동),35.97382268,128.931736,054-332-3894,칼국수
가성비,봄내반점,경상북도 영천시 중앙동3길27,35.97391612,128.9324689,054-335-2139,자장면+짬뽕
가성비,머리사랑,경상북도 영천시 중앙동 1길 105,35.99808834,128.9278515,054-337-1336,컷트+파마
가성비,국수랑밥이랑,경상북도 영천시 역전로 53-1,35.96051788,128.9388962,054-335-4540,칼국수
가성비,금탑베이커리,경상북도 영천시 문외동 무궁화상가 10호,35.97249557,128.9354902,054-333-4753,빵
가성비,삼미식당,경상북도 영천시 법원길 59 (문외동),35.96953051,128.9296787,054-332-6018,삼겹살(150g)
가성비,초원미용실,경상북도 영천시 시장4길 12(완산동),35.96442921,128.9366255,054-332-7770,컷트+파마
가성비,명동칼국수,경상북도 영천시 강남길 46 (완산동),35.96584244,128.9380059,054-332-4772,칼국수+비빔밥
가성비,큰손칼국수,경상북도 영천시 문외1길 23(문외동),35.9703098,128.9349322,054-337-7599,해물칼국수+잔치국수
가성비,원리치피자,경상북도 영천시 옛군청1길 33(문외동),35.96799901,128.9319114,054-333-2782,피자(소)+피자(중)+피자(대)
가성비,미각루,경상북도 영천시 충효로 18(문외동),35.97421337,128.9394135,054-331-4666,자장면+짬뽕
가성비,신녕장목욕탕,경상북도 영천시 신녕면 장수로 1663-1,36.04026889,128.7881776,054-332-0131,입욕
가성비,미성식당,경상북도 영천시 고경면 호국로 1433-38,35.9996361,129.0837814,054-334-5457,자장면+짬뽕
가성비,대복가마솥국밥,경상북도 영천시 본촌마을길 33(본촌동),35.92568,128.9532,054-335-7110,돼지국밥
