﻿INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010004LI12210001000402711,20201201,49,화,47,경상북도,4723,영천시,17,MALE,6,3837.198119,2675.169905
LI122100010004LI12210001000402712,20201201,49,화,47,경상북도,4723,영천시,22,FEMALE,6,4954.353031,407.0259826
LI122100010004LI12210001000402713,20201201,49,화,47,경상북도,4723,영천시,9,MALE,7,4185.46689,1288.291019
LI122100010004LI12210001000402714,20201201,49,화,47,경상북도,4723,영천시,15,FEMALE,2,1760.762605,557.4762466
LI122100010004LI12210001000402715,20201201,49,화,47,경상북도,4723,영천시,12,MALE,7,4148.681066,1539.112387
LI122100010004LI12210001000402716,20201201,49,화,47,경상북도,4723,영천시,0,MALE,1,3891.032988,261.3871529
LI122100010004LI12210001000402717,20201201,49,화,47,경상북도,4723,영천시,18,FEMALE,7,5810.603876,783.235656
LI122100010004LI12210001000402718,20201201,49,화,47,경상북도,4723,영천시,10,MALE,4,3625.663862,1807.347165
LI122100010004LI12210001000402719,20201201,49,화,47,경상북도,4723,영천시,15,MALE,3,2623.694619,1186.927233
LI122100010004LI122100010004027110,20201201,49,화,47,경상북도,4723,영천시,23,FEMALE,7,6324.679957,239.0300272
LI122100010004LI122100010004027111,20201201,49,화,47,경상북도,4723,영천시,12,MALE,5,5391.044746,3279.233979
LI122100010004LI122100010004027112,20201201,49,화,47,경상북도,4723,영천시,5,MALE,4,2630.023042,513.3028955
LI122100010004LI122100010004027113,20201201,49,화,47,경상북도,4723,영천시,8,FEMALE,0,392.8005626,116.4127944
LI122100010004LI122100010004027114,20201201,49,화,47,경상북도,4723,영천시,6,MALE,2,2350.628793,497.1024095
LI122100010004LI122100010004027115,20201201,49,화,47,경상북도,4723,영천시,17,MALE,7,3345.628261,1083.707293
LI122100010004LI122100010004027116,20201201,49,화,47,경상북도,4723,영천시,16,MALE,6,4849.78543,2664.779681
LI122100010004LI122100010004027117,20201201,49,화,47,경상북도,4723,영천시,6,FEMALE,3,1494.682962,228.3970801
LI122100010004LI122100010004027118,20201201,49,화,47,경상북도,4723,영천시,16,FEMALE,7,6015.251794,1207.220337
LI122100010004LI122100010004027119,20201201,49,화,47,경상북도,4723,영천시,0,FEMALE,0,517.0636544,3.240361691
LI122100010004LI122100010004027120,20201201,49,화,47,경상북도,4723,영천시,11,MALE,2,3018.732012,1163.58269
LI122100010004LI122100010004027121,20201201,49,화,47,경상북도,4723,영천시,21,MALE,1,3506.517886,529.8299057
LI122100010004LI122100010004027122,20201201,49,화,47,경상북도,4723,영천시,5,MALE,1,2558.464877,110.4776258
LI122100010004LI122100010004027123,20201201,49,화,47,경상북도,4723,영천시,20,FEMALE,5,4436.338124,948.9154271
LI122100010004LI122100010004027124,20201201,49,화,47,경상북도,4723,영천시,4,FEMALE,1,1277.805128,52.16601801
LI122100010004LI122100010004027125,20201201,49,화,47,경상북도,4723,영천시,9,MALE,3,2610.211291,1123.987294
LI122100010004LI122100010004027126,20201201,49,화,47,경상북도,4723,영천시,16,FEMALE,4,3132.181438,1202.43791
LI122100010004LI122100010004027127,20201201,49,화,47,경상북도,4723,영천시,4,MALE,0,196.49863,6.252378464
