구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
행사,깊은 울림 황성옛터 공연티켓오픈,깊은 울림 황성옛터,시민회관 스타홀,문화예술과,2018-11-12,2018-12-01,2022-11-28
기타,새마을지도자 한마음 전진대회,의식행사,영천체육관,새마을체육과,2018-11-14,2018-11-14,2022-11-28
기타,새마을지도자 한마음 전진대회,지도자 표창,영천체육관,새마을체육과,2018-11-14,2018-11-14,2022-11-28
기타,새마을지도자 한마음 전진대회,단합행사,영천체육관,새마을체육과,2018-11-14,2018-11-14,2022-11-28
행사,제16회 경상북도지사기 공무원 탁구 대회 개최,공무원 탁구 대회 개회식,생활체육관,새마을체육과,2018-11-16,2018-11-17,2022-11-28
행사,제16회 경상북도지사기 공무원 탁구 대회 개최,공무원 탁구 대회 경기,영천실내체육관,새마을체육과,2018-11-16,2018-11-17,2022-11-28
행사,제3회영천시장기바둑대회,영천시장기 바둑대회,영천문화원 2층(대강당),새마을체육과,2018-11-17,2018-11-17,2022-11-28
기타,제11회영천시장기야구대회,클럽별 토너먼트경기 진행,영천야구장,새마을체육과,2018-11-04,2018-11-25,2022-11-28
행사,영천관광전국사진공모전,2017년 입상작품 35점 정도,최무선과학관,새마을체육과,2018-11-09,2018-11-18,2022-11-28
기타,책 먹는 여우 공연,명품 어린이 캐릭터 뮤지컬,시립도서관 지산홀,평생학습관,2018-11-18,2018-11-18,2022-11-28
기타,노인회부설 노인교실 특강,노인회부설 노인교실 특강,영천시종합복지센터 1층 강당,사회복지과,2018-11-16,2018-11-16,2022-11-28
기타,찾아가는 음악회,성악,야사종합복지관 내 경로당(1층),문화예술과,2018-11-15,2018-11-15,2022-11-28
기타,찾아가는 음악회,민요,야사종합복지관 내 경로당(2층),문화예술과,2018-11-15,2018-11-15,2022-11-28
기타,찾아가는 음악회,바이올린 공연,야사종합복지관 내 경로당(3층),문화예술과,2018-11-15,2018-11-15,2022-11-28
기타,줌마들의 브런치,한국문화예술회관연합회 우수공연(줌마들의 브런치),시민회관 스타홀,문화예술과,2018-11-24,2018-11-24,2022-11-28
기타,초람 서예학회전,초람 서예학회 작품 발표전,예술창작스튜디오 1전시실,문화예술과,2018-11-24,2018-11-30,2022-11-28
기타,초람 서예학회전,초람 서예학회 작품 발표전,예술창작스튜디오 2전시실,문화예술과,2018-11-24,2018-11-30,2022-11-28
행사,11월시민행복아카데미,매력적인 사람들의 소통과 공감력 키우기,교육문화센터 우석홀,평생학습관,2018-11-21,2018-11-21,2022-11-28
기타,영동고미술동문작품전,영동고등학교 미술동문 작품전,시민회관 로비,문화예술과,2018-11-21,2018-11-25,2022-11-28
행사,2018년 영천시 보육인의 밤,개회,교육문화센터 우석홀,가족행복과,2018-11-30,2018-11-30,2022-11-28
행사,2018년 영천시 보육인의 밤,시상,교육문화센터 우석홀,가족행복과,2018-11-30,2018-11-30,2022-11-28
행사,2018년 영천시 보육인의 밤,불우이웃돕기 성금전달,교육문화센터 우석홀,가족행복과,2018-11-30,2018-11-30,2022-11-28
행사,2018년 영천시 보육인의 밤,축하공연,교육문화센터 우석홀,가족행복과,2018-11-30,2018-11-30,2022-11-28
행사,2018년 영천시 보육인의 밤,행운권 추첨 ,교육문화센터 우석홀,가족행복과,2018-11-30,2018-11-30,2022-11-28
기타,깊은 울림 황성옛터,공연장상주단체육성지원사업,시민회관 스타홀,문화예술과,2018-12-01,2018-12-01,2022-11-28
행사,크리스마스트리 문화축제 점등식,트리점등예배,영천시민회관 및 광장,문화예술과,2018-12-02,2018-12-02,2022-11-28
행사,크리스마스트리 문화축제 점등식,내빈소개,영천시민회관 및 광장,문화예술과,2018-12-02,2018-12-02,2022-11-28
행사,크리스마스트리 문화축제 점등식,축하공연,영천시민회관 및 광장,문화예술과,2018-12-02,2018-12-02,2022-11-28
행사,크리스마스트리 문화축제 점등식,개막,영천시민회관 및 광장,문화예술과,2018-12-02,2018-12-02,2022-11-28
행사,크리스마스트리 문화축제 점등식,축사,영천시민회관 및 광장,문화예술과,2018-12-02,2018-12-02,2022-11-28
행사,크리스마스트리 문화축제 점등식,점등식,영천시민회관 및 광장,문화예술과,2018-12-02,2018-12-02,2022-11-28
기타,노년기 치매 예방 특강,노년기 치매 예방,영천시종합복지센터 1층 강당,사회복지과,2018-11-27,2018-11-27,2022-11-28
행사,노인(지도자)대학 졸업식,식전 공연,교육문화센터 우석홀,사회복지과,2018-11-30,2018-11-30,2022-11-28
행사,노인(지도자)대학 졸업식,기념식,교육문화센터 우석홀,사회복지과,2018-11-30,2018-11-30,2022-11-28
행사,노인(지도자)대학 졸업식,졸업증서수여,교육문화센터 우석홀,사회복지과,2018-11-30,2018-11-30,2022-11-28
행사,노인(지도자)대학 졸업식,축사,교육문화센터 우석홀,사회복지과,2018-11-30,2018-11-30,2022-11-28
행사,예술창작 제10기 릴레이전 Part4,예술창작,영천예술창작스튜디오,문화예술과,2018-12-03,2018-12-09,2022-11-28
행사,이름나는 새 명소 표지판 만들기 품앗이 프로그램,전문가 시범과 주민교육을 통해 표지간판 제작 설치+제작과정 및 설치 현장 촬영,목재문화체험장,산림과,2018-12-03,2018-12-05,2022-11-28
행사,고3 청소년 꿈 토크 콘서트,꿈 토크 콘서트,시민회관 스타홀,새마을체육과,2018-12-06,2018-12-06,2022-11-28
행사,고3 청소년 꿈 토크 콘서트,어울림마당 ,시민회관 스타홀,새마을체육과,2018-12-06,2018-12-06,2022-11-28
행사,(사)영천아리랑연구보존회 노인복지센터 공연,위문,예쁜재가노인복지센터,문화예술과,2018-12-07,2018-12-07,2022-11-28
행사,(사)영천아리랑연구보존회 노인복지센터 공연,영천아리랑 공연,예쁜재가노인복지센터,문화예술과,2018-12-07,2018-12-07,2022-11-28
행사,중소기업융합영천교류회 회장 이. 취임식 및 송년의밤,회장 이. 취임식,스타컨벤션웨딩 2층 스타홀,기업유치과,2018-12-07,2018-12-07,2022-11-28
행사,중소기업융합영천교류회 회장 이. 취임식 및 송년의밤,장학금,스타컨벤션웨딩 2층 스타홀,기업유치과,2018-12-07,2018-12-07,2022-11-28
행사,중소기업융합영천교류회 회장 이. 취임식 및 송년의밤,이웃돕기성금 전달,스타컨벤션웨딩 2층 스타홀,기업유치과,2018-12-07,2018-12-07,2022-11-28
행사,영천 전통시장 시티투어,주요 관광지 관람,영천공설시장 및 주요 관광지,관광진흥과,2018-12-08,2018-12-08,2022-11-28
행사,영천 전통시장 시티투어,전통엿 만들기 체험,영천공설시장 및 주요 관광지,관광진흥과,2018-12-08,2018-12-08,2022-11-28
행사,영천 전통시장 시티투어,영천 전통시장 장보기 체험,영천공설시장 및 주요 관광지,관광진흥과,2018-12-08,2018-12-08,2022-11-28
행사,영천 전통시장 시티투어,이벤트,영천공설시장 및 주요 관광지,관광진흥과,2018-12-08,2018-12-08,2022-11-28
축제,최무선과학관 12월 과학체험 프로그램 과학아!놀자! 운영,나만의 칼레이도사이클 만들기,최무선과학관 창의과학체험실,문화예술과,2018-12-08,2018-12-09,2022-11-28
축제,최무선과학관 12월 과학체험 프로그램 과학아!놀자! 운영,3D펜을 이용한 나만의 장난감 만들기,최무선과학관 창의과학체험실,문화예술과,2018-12-08,2018-12-09,2022-11-28
행사,악극 공연,악극 「이수일과 심순애」공연,시민회관 스타홀,문화예술과,2018-12-08,2018-12-08,2022-11-28
축제,제18회 경상북도 교육감기 초등학교 수영대회 개최,초등학교 수영대회,영천실내수영장,체육지원과,2018-12-03,2018-12-03,2022-11-28
행사,CJ헬로비전 방송모금 캠페인,CJ헬로비전 방송모금,시민회관 전정,복지정책과,2018-12-03,2018-12-03,2022-11-28
기타,2019년 장애인일자리사업,행정도우미,장애인복지담당,복지정책과,2018-11-28,2018-12-11,2022-11-28
기타,2019년 장애인일자리사업,사회복지시설,장애인복지담당,복지정책과,2018-11-28,2018-12-11,2022-11-28
기타,2019년 장애인일자리사업,단체 업무지원,장애인복지담당,복지정책과,2018-11-28,2018-12-11,2022-11-28
행사,2018 전국 영어한마당축제,초등영어스피치,영천시 교육문화센터,인구교육과,2018-12-15,2018-12-15,2022-11-28
행사,2018 전국 영어한마당축제,영어동화구연,영천시 교육문화센터,인구교육과,2018-12-15,2018-12-15,2022-11-28
행사,2018 전국 영어한마당축제,중등 영어스피치,영천시 교육문화센터,인구교육과,2018-12-15,2018-12-15,2022-11-28
행사,2018 전국 영어한마당축제,K-P0P 영어가요제,영천시 교육문화센터,인구교육과,2018-12-15,2018-12-15,2022-11-28
기타,아름어린이집 어린이 재롱발표,아름어린이집 어린이 재롱발표,청소년극장,체육시설사업소,2018-12-14,2018-12-14,2022-11-28
기타,영천경마공원』설계 반영 아이디어 공모 기간 연장 안내,영천경마공원 설계 반영 아이디어,경마공원추진담당,정책기획실,2018-12-14,2018-12-14,2022-11-28
기타,2018년 장애인종합복지관 자원봉사자후원자감사의 날 행사,기념식,장애인종합복지관 3층 강당,사회복지과,2018-12-14,2018-12-14,2022-11-28
기타,2018년 장애인종합복지관 자원봉사자후원자감사의 날 행사,문화공연,장애인종합복지관 4층 강당,사회복지과,2018-12-14,2018-12-14,2022-11-28
기타,인재양성원생 선발 접수,인재양성원생 선발,인재양성담당,평생학습관,2018-12-03,2018-12-14,2022-11-28
행사,시민강연-병와 이형상의 삶과 작품,"병와 이형상 선생의 삶과 저술, 지역",임고서원충효문화수련원(포은연수관),문화예술과,2018-12-11,2018-12-11,2022-11-28
행사,시민강연-병와 이형상의 삶과 작품,사회에 미친 영향 등 시민 강연회,임고서원충효문화수련원(포은연수관),문화예술과,2018-12-11,2018-12-11,2022-11-28
행사,임고서원 충효문화수련원경북선비아카데미 과정 수료식,경북선비아카데미,포은연수관 대강당,문화예술과 ,2018-12-13,2018-12-13,2022-11-28
행사,임고서원 충효문화수련원경북선비아카데미 과정 수료식,연중과정 수료식,포은연수관 대강당,문화예술과,2018-12-13,2018-12-13,2022-11-28
행사,명사초청특강 및 문화가족 한마당,명사초청특강,시민회관,문화예술과,2018-12-17,2018-12-17,2022-11-28
행사,명사초청특강 및 문화가족 한마당,문화원 동아리 공연,시민회관,문화예술과,2018-12-17,2018-12-17,2022-11-28
행사,불우이웃과 함께하는 자선콘서트,하모니카 연주,교육문화센터 우석홀,평생학습관,2018-12-18,2018-12-18,2022-11-28
행사,불우이웃과 함께하는 자선콘서트,밴드 공연,교육문화센터 우석홀,평생학습관,2018-12-18,2018-12-18,2022-11-28
행사,불우이웃과 함께하는 자선콘서트,색소폰 연주 ,교육문화센터 우석홀,평생학습관,2018-12-18,2018-12-18,2022-11-28
행사,동서청춘대학 한마음 발표회,동서청춘대학 교육과정 발표회,영천시 교육문회회관 우석홀,사회복지과,2018-12-19,2018-12-19,2022-11-28
축제,크리스마스 콘서트(도서관),크리스마스 콘서트,도서관 지산홀,평생학습관,2018-12-19,2018-12-19,2022-11-28
행사,다문화가족 희망이들과 함께하는 크리스마스 행사,가족영화 시청,영천별빛영화관,가족행복과,2018-12-19,2018-12-19,2022-11-28
기타,남북이 함께 열어가는 통일한마당,농산품 및 장학금 전달,스타컨벤션 3층,총무과,2018-12-20,2018-12-20,2022-11-28
기타,남북이 함께 열어가는 통일한마당,남·북 토박이말 퀴즈,스타컨벤션 4층,총무과,2018-12-20,2018-12-20,2022-11-28
기타,남북이 함께 열어가는 통일한마당,탈북민 공연,스타컨벤션 5층,총무과,2018-12-20,2018-12-20,2022-11-28
행사,제로페이 서포터즈 찾아가는교육,제로페이 신청자 현장접수,영천공설시장 청년회사무실(2층),일자리노사과,2019-01-10,2019-01-10,2022-11-28
기타,맞춤형 취업능력향상 교육프로그램 실시,자활사업의 이해 ,영천지역자활센터 1층 교육장,사회복지과,2019-01-10,2019-01-10,2022-11-28
행사,가정용 가스보일러 합동 안전점검 실시,안전점검 실시,소회의실,일자리노사과,2019-01-10,2019-01-31,2022-11-28
행사,가정용 가스보일러 합동 안전점검 실시,부적합시설 즉시 개선조치,소회의실,일자리노사과,2019-01-10,2019-01-31,2022-11-28
행사,가정용 가스보일러 합동 안전점검 실시,가스보일러 배관내 사고예방 스티커 부착,소회의실,일자리노사과,2019-01-10,2019-01-31,2022-11-28
행사,농촌지도자회 정기총회,2018년도 경과 및 감사보고,농업기술센터 생활과학관,농촌지도과,2019-01-11,2019-01-11,2022-11-28
행사,농촌지도자회 정기총회,2019년 사업계획 보고 등,농업기술센터 생활과학관,농촌지도과,2019-01-11,2019-01-11,2022-11-28
기타,시민회관 시민문화교실 개강(민요반),시민문화교실,시민회관(리허설실),문화예술과,2019-01-15,2019-01-15,2022-11-28
기타,도서관에서 하룻밤,도서관탐험,시립도서관,평생학습관,2019-01-18,2019-01-18,2022-11-28
기타,도서관에서 하룻밤,게임,시립도서관,평생학습관,2019-01-18,2019-01-18,2022-11-28
기타,도서관에서 하룻밤,자유독서 등,시립도서관,평생학습관,2019-01-18,2019-01-18,2022-11-28
기타,겨울방학 영화상영,영화상영 (넛잡2),시립도서관 내,평생학습관,2019-01-19,2019-01-19,2022-11-28
기타,시민,방송댄스 공연,시민회관,문화예술과,2019-01-19,2019-01-19,2022-11-28
기타,청소년 어울림 마당,방송댄스 공연,시민회관,문화예술과,2019-01-19,2019-01-19,2022-11-28
기타,M댄스 아카데미,방송댄스 공연,시민회관,문화예술과,2019-01-19,2019-01-19,2022-11-28
기타,시민,발표회,시민회관,문화예술과,2019-01-19,2019-01-19,2022-11-28
기타,청소년 어울림 마당,발표회,시민회관,문화예술과,2019-01-19,2019-01-19,2022-11-28
기타,M댄스 아카데미,발표회,시민회관,문화예술과,2019-01-19,2019-01-19,2022-11-28
기타,여성 신년 인사회 개최,개회식,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,여성 신년 인사회 개최,신년인사,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,여성 신년 인사회 개최,장학금,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,여성 신년 인사회 개최,불우이웃돕기성금 기탁,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,여성 신년 인사회 개최,축가,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,여성 신년 인사회 개최,신년축하 떡커팅,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,여성 신년 인사회 개최,오찬,스타컨벤션웨딩 지하,사회복지과,2019-01-22,2019-01-22,2022-11-28
기타,자원봉사센터 정기총회 및 이사회,2019 사업 및 예산계획 승인 ,다나눔센터1층 회의실(영천고2길 57),새마을체육과,2019-01-22,2019-01-22,2022-11-28
기타,명작동화 클래식 음악회,유아 대상 명작동화 클래식 음악회,시민회관 스타홀,문화예술과,2019-01-23,2019-01-23,2022-11-28
기타,영천아리랑 연구보존회 경로당 순회공연,경로당 순회공연,화남노인복지센터,문화예술과,2019-01-21,2019-01-21,2022-11-28
기타,영천아리랑 연구보존회 경로당 순회공연,경로당 순회공연,금호읍 양남리 경로당,문화예술과,2019-01-23,2019-01-23,2022-11-28
기타,영천아리랑 연구보존회 경로당 순회공연,경로당 순회공연,구암리 경로당,문화예술과,2019-01-23,2019-01-23,2022-11-28
행사,장애인인식개선 교육 및 후원회 발대식,장애인인식개선 교육,스타컨벤션웨딩 3층,사회복지과,2019-01-25,2019-01-25,2022-11-28
행사,장애인인식개선 교육 및 후원회 발대식,후원회 발대식,스타컨벤션웨딩 3층,사회복지과,2019-01-25,2019-01-25,2022-11-28
기타,재향군인회 정기총회,영천시 재향군인회 정기총회,향군회관 대회의실(지하),복지정책과,2019-01-25,2019-01-25,2022-11-28
기타,영화상영 <보스베이비>,영화상영 <보스베이비>,지산홀,평생학습관,2019-01-26,2019-01-26,2022-11-28
행사,농업기술자협회 교육 및 총회,총회 및 교양 교육,농업인회관 2층 교육장,농촌지도과,2019-01-28,2019-01-28,2022-11-28
행사,2019 나눔의 파발마 발대식,파발마 기 전달 및 발대식,대회의실(시청별관 3층),새마을체육과,2019-01-29,2019-01-29,2022-11-28
행사,시니어클럽 영천로타리클럽간MOU,시니어클럽 카페사업 업무협약,시청 영상회의실,사회복지과,2019-01-29,2019-01-29,2022-11-28
기타,영천관광 사진공모전 입상작품 전시,영천관광 전국사진공모전 입상작(30점 정도),영천역 대합실,관광진흥과,2019-01-29,2019-02-08,2022-11-28
행사,2019년 초등 학생 해외 어학연수 수료식,수료증 전달,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 초등 학생 해외 어학연수 수료식,우수학생 시상,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 초등 학생 해외 어학연수 수료식,총평,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 초등 학생 해외 어학연수 수료식,기념촬영,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 중학생 해외 어학연수 수료식,수료증 전달,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 중학생 해외 어학연수 수료식,우수학생 시상,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 중학생 해외 어학연수 수료식,총평,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019년 중학생 해외 어학연수 수료식,기념촬영,시립도서관 지산홀,인구교육과,2019-01-30,2019-01-30,2022-11-28
행사,2019 영천시체육회 이사회,2018년 세입세출 및 사업결산,대회의실(시청별관 3층),새마을체육과,2019-01-31,2019-01-31,2022-11-28
행사,2019 영천시체육회 이사회,2019년 세입세출 및 사업계획,대회의실(시청별관 3층),새마을체육과,2019-01-31,2019-01-31,2022-11-28
행사,2019 영천시체육회 이사회,영천시체육회 이사회 부회장 정수 증원,대회의실(시청별관 3층),새마을체육과,2019-01-31,2019-01-31,2022-11-28
행사,2019 영천시체육회 이사회,영천시체육회 스포츠공정위원회 규정개정,대회의실(시청별관 3층),새마을체육과,2019-01-31,2019-01-31,2022-11-28
행사,2019 영천시체육회 이사회,궁도협회 관리방안 결정,대회의실(시청별관 3층),새마을체육과,2019-01-31,2019-01-31,2022-11-28
