관광지명,지역(광역),지역(기초),주소,대분류,중분류,소분류,위도,경도,읍면동,업체명,주소_카페,위도_카페,경도_카페,상호,위도_캠핑장,경도_캠핑장,업체명_사찰,전화번호,위도_사찰,경도_사찰,행사명,행사내용,장소명,행사시작일자,행사종료일자
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면,,,,,자호천생태학교,36.066614034215,129.073592284771,거동사,054-336-8165,36.15028704,129.0267561,,,,,
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면,,,,,자호천생태학교,36.066614034215,129.073592284771,묘각사(영천),054-336-6633,36.11518096,129.0088094,,,,,
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면,,,,,이유캠핑,36.1404956380852,129.010510005447,거동사,054-336-8165,36.15028704,129.0267561,,,,,
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면,,,,,이유캠핑,36.1404956380852,129.010510005447,묘각사(영천),054-336-6633,36.11518096,129.0088094,,,,,
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면,,,,,영천시공예촌캠핑체험장,36.079487328904,129.017889513346,거동사,054-336-8165,36.15028704,129.0267561,,,,,
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면,,,,,영천시공예촌캠핑체험장,36.079487328904,129.017889513346,묘각사(영천),054-336-6633,36.11518096,129.0088094,,,,,
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,두드림 캠핑장,35.9795526299331,128.826613010796,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,두드림 캠핑장,35.9795526299331,128.826613010796,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,작은음악회 개최,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,두드림 캠핑장,35.9795526299331,128.826613010796,은해사(영천),054-335-3318,35.99646983,128.8204084,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,두드림 캠핑장,35.9795526299331,128.826613010796,은해사(영천),054-335-3318,35.99646983,128.8204084,거조사 나한대재,작은음악회 개최,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,은해로운 캠핑장,35.9907756345061,128.800309911306,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,은해로운 캠핑장,35.9907756345061,128.800309911306,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,작은음악회 개최,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,은해로운 캠핑장,35.9907756345061,128.800309911306,은해사(영천),054-335-3318,35.99646983,128.8204084,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,은해로운 캠핑장,35.9907756345061,128.800309911306,은해사(영천),054-335-3318,35.99646983,128.8204084,거조사 나한대재,작은음악회 개최,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,두드림 캠핑장,35.9795526299331,128.826613010796,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,두드림 캠핑장,35.9795526299331,128.826613010796,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,작은음악회 개최,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,두드림 캠핑장,35.9795526299331,128.826613010796,은해사(영천),054-335-3318,35.99646983,128.8204084,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,두드림 캠핑장,35.9795526299331,128.826613010796,은해사(영천),054-335-3318,35.99646983,128.8204084,거조사 나한대재,작은음악회 개최,거조사,2019-10-26,2019-10-26
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면,달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,은해로운 캠핑장,35.9907756345061,128.800309911306,거조사,054-335-1369,36.0203294,128.7648349,거조사 나한대재,거조사 나한대재 법요식,거조사,2019-10-26,2019-10-26
