관광지명,지역(광역),지역(기초),주소,대분류,중분류,소분류,위도,경도,읍면동
거동사,경상북도,영천시,경상북도 영천시 자양면 사곡길 77-81(자양면),인문(문화/예술/역사),역사관광지,사찰,36.1502870387466,129.026756087311,자양면
거조사,경상북도,영천시,경상북도 영천시 청통면 거조길 400-67,인문(문화/예술/역사),역사관광지,사찰,36.0203293984708,128.764834903311,청통면
도계서원(영천),경상북도,영천시,경상북도 영천시 북안면 신평탑골길 93-57,인문(문화/예술/역사),역사관광지,유적지/사적지,35.8888726219146,129.02264318714,북안면
만불사(영천),경상북도,영천시,경상북도 영천시 북안면 고지리 857-5,인문(문화/예술/역사),역사관광지,사찰,35.9103028259714,129.032920715813,북안면
묘각사(영천),경상북도,영천시,경상북도 영천시 자양면 용화길 499,인문(문화/예술/역사),역사관광지,사찰,36.1151809631298,129.008809399995,자양면
봉림사(영천),경상북도,영천시,경상북도 영천시 화북면 천문로 2149-368,인문(문화/예술/역사),역사관광지,사찰,36.1261769660921,128.897888823129,화북면
부귀사(영천),경상북도,영천시,경상북도 영천시 신녕면 칠발골길 446,인문(문화/예술/역사),역사관광지,사찰,36.0256565830016,128.747908923277,신녕면
수도사(영천),경상북도,영천시,경상북도 영천시 신녕면 치산관광길 404 수도사,인문(문화/예술/역사),역사관광지,사찰,36.0396270779965,128.717962531342,신녕면
시안미술관,경상북도,영천시,경상북도 영천시 화산면 가래실로 364,인문(문화/예술/역사),문화시설,미술관/화랑,36.0327624255395,128.889246569158,화산면
신녕포교당,경상북도,영천시,경상북도 영천시 신녕면 동산길 11,인문(문화/예술/역사),역사관광지,사찰,36.0409468175838,128.790024804802,신녕면
영지사,경상북도,영천시,경상북도 영천시 대창면 영지길 47길(대창면),인문(문화/예술/역사),역사관광지,사찰,35.8443609409354,128.951288311418,대창면
영천돌할매공원,경상북도,영천시,경상북도 영천시 북안면 돌할매로 48(북안면),인문(문화/예술/역사),휴양관광지,공원,35.9397065635503,129.045854442147,북안면
영천목재문화체험장,경상북도,영천시,경상북도 영천시 화북면 배나무정길 334,인문(문화/예술/역사),체험관광지,이색체험,36.1416418514873,128.978627527783,화북면
영천보현산천문과학관,경상북도,영천시,경상북도 영천시 화북면 별빛로 681-32,인문(문화/예술/역사),문화시설,전시관,36.140254867493,128.996473636029,화북면
영천신흥사,경상북도,영천시,경상북도 영천시 금호읍 금호로 360-29(금호읍),인문(문화/예술/역사),역사관광지,사찰,35.9372997876151,128.898644285475,금호읍
영천자천리오리장림,경상북도,영천시,경상북도 영천시 화북면 자천리1421-1,자연,관광자원,희귀동.식물,36.1041638606924,128.915070919671,화북면
영천전투메모리얼파크,경상북도,영천시,경상북도 영천시 교촌동 11-33,인문(문화/예술/역사),체험관광지,이색체험,35.9729088748736,128.926691190214,교촌동
영천전투호국기념관,경상북도,영천시,경상북도 영천시 고경면 용당로 2054,인문(문화/예술/역사),문화시설,기념관,35.9805639235494,129.107618194875,고경면
영천조양각,경상북도,영천시,경상북도 영천시 문화원길 6(창구동),인문(문화/예술/역사),역사관광지,유적지/사적지,35.9673334927301,128.933274818569,창구동
영천포교당,경상북도,영천시,경상북도 영천시 서문길 69,인문(문화/예술/역사),역사관광지,사찰,35.9660045740853,128.926094088736,
운주산승마자연휴양림,경상북도,영천시,경상북도 영천시 임고면 승마휴양림길 105,자연,자연관광지,자연휴양림,36.0351031079953,128.996734598345,임고면
은해사(영천),경상북도,영천시,경상북도 영천시 청통면 금송로 1038,인문(문화/예술/역사),역사관광지,사찰,35.9964698347352,128.820408358498,청통면
임고강변공원,경상북도,영천시,경상북도 영천시 임고면 덕연리 132-8,인문(문화/예술/역사),휴양관광지,공원,36.0462721447248,128.991526513513,임고면
임고서원,경상북도,영천시,경상북도 영천시 임고면 포은로 447(임고면),인문(문화/예술/역사),역사관광지,유적지/사적지,36.0169129150992,128.973358539267,임고면
죽림사(영천),경상북도,영천시,경상북도 영천시 금호읍 죽방길 279-57,인문(문화/예술/역사),역사관광지,사찰,35.9457081346678,128.916925046383,금호읍
최무선과학관,경상북도,영천시,경상북도 영천시 금호읍 창산길 100-29,인문(문화/예술/역사),문화시설,전시관,35.9077385843827,128.881024080224,금호읍
치산계곡,경상북도,영천시,경상북도 영천시 신녕면 치산리,자연,자연관광지,계곡,36.0406469735362,128.717759350206,신녕면
한광사,경상북도,영천시,경상북도 영천시 신녕면 권응수길 126,인문(문화/예술/역사),역사관광지,사찰,36.084203784029,128.7666310723,신녕면
