이름,주소,위도,경도,읍면동,테마
NAVID(나비드),"경상북도 영천시 신녕면 치산관광길 175, 1층",36.05565671,128.7160181,신녕면,카페
가론,경상북도 영천시 청통면 청통로 146,35.9918347,128.8749878,청통면,카페
감성커피 영천시청점,경상북도 영천시 충효로 81 (문외동),35.97376409,128.9380887,문외동,카페
곰돌이탕후루,"경상북도 영천시 무궁화길 31, 1층 (문외동)",35.97334539,128.9363097,문외동,카페
공차 영천시청점,"경상북도 영천시 충효로 75, 1층 (문외동)",35.97339131,128.9373525,문외동,카페
카페움,경상북도 영천시 강변로 4 (성내동),35.96250184,128.9236761,성내동,카페
느루,"경상북도 영천시 문외1길 23, 104호 (문외동)",35.9703098,128.9349322,문외동,카페
단아,"경상북도 영천시 천문로 485, 동의참누리원영천한의마을 카페테리아 (화룡동)",35.97785256,128.9222696,화룡동,카페
달콤(Dal.Komm),경상북도 영천시 청통면 청통로 334-42,35.99395053,128.8591071,청통면,카페
담숨,"경상북도 영천시 대창면 금창로 1095-60, 나무와 학교",35.86858579,128.9412194,대창면,카페
더드림커피 영천신녕점,"경상북도 영천시 신녕면 장수로 1607, 전면 우측 두번째 상가 (11)호",36.03534367,128.7901813,신녕면,카페
더렁즈커피,경상북도 영천시 서문길 97-3 (교촌동),35.96648103,128.9277581,교촌동,카페
더리터 영천한신점,"경상북도 영천시 망정1길 174, 정암빌딩 113호 (망정동)",35.98140772,128.9517077,망정동,카페
더벤티 영천점,경상북도 영천시 시장로 41 (완산동),35.96352435,128.9347745,완산동,카페
더브릿지 카페,"경상북도 영천시 화북면 배나무정길 14, (입석리)",36.13618297,128.9505762,화북면,카페
더블류콜렉션,"경상북도 영천시 중앙동1길 52, 1층 (문외동)",35.97408815,128.9335243,중앙동,카페
듀잇(DEW IT),"경상북도 영천시 언하공단로 91-14, 1,2층 (망정동)",35.98500176,128.954235,망정동,카페
디카프리 완산,경상북도 영천시 강남길 49 (완산동),35.96633767,128.9380672,완산동,카페
로아카페,"경상북도 영천시 신녕면 장수로 1617, 1층 전면 우측 2번째호",36.03608743,128.7894675,신녕면,카페
루머팡(커피숍),경상북도 영천시 천문로 55 (도동),35.94352592,128.9288305,도동,카페
리버뷰,"경상북도 영천시 최무선로 318, 1층 (문외동)",35.96818928,128.9340978,문외동,카페
마누리커피,경상북도 영천시 임고면 승마휴양림길 62-16,36.03070484,128.9985374,임고면,카페
마시담,"경상북도 영천시 약초시장길 5, 영천약초시장 E동 115호 (도동)",35.94239714,128.9314329,도동,카페
마실커피숍,"경상북도 영천시 신녕면 치산효령로 2, 1층",36.04354618,128.7873225,신녕면,카페
마실커피화남점,경상북도 영천시 화남면 천문로 1709-2,36.06734214,128.8995585,화남면,카페
멍 애견카페,경상북도 영천시 임고면 포은로 185,35.99388038,128.9664752,임고면,카페
메가엠지씨커피 영천IC점,"경상북도 영천시 영천아이시로 42, 주2동 1층 (봉동)",35.93521177,128.9443704,봉동,카페
메가엠지씨커피 영천시청점,경상북도 영천시 충효로 75-2 (문외동),35.97351566,128.9375868,문외동,카페
메르아포레,"경상북도 영천시 산업단지로 314, 2층 (봉동)",35.93263817,128.9484179,봉동,카페
멜빈커피,"경상북도 영천시 시장로 120, 완산골드타워 113호 (완산동)",35.96347199,128.9437538,완산동,카페
모네,"경상북도 영천시 금호읍 거여로 426-5, 화랑설화마을",35.92838829,128.9224696,금호읍,카페
모닝웨이,"경상북도 영천시 완산5길 25, 102호 (완산동, 완산미소지움)",35.96744519,128.9416503,완산동,카페
몬스터커피 영천완산e편한세상점,"경상북도 영천시 시장로 106, 105,106(일부)호 (완산동)",35.96338795,128.9418349,완산동,카페
몽글몽글,"경상북도 영천시 야사시장길 42, 103호 (야사동)",35.97321807,128.947917,야사동,카페
민정사주카페,경상북도 영천시 금완로 39 (금노동),35.96057684,128.9325003,금노동,카페
바빈스커피 완산점,"경상북도 영천시 완산중앙3길 29-1, 1층 (완산동)",35.96249613,128.9371791,완산동,카페
별내린 커피,경상북도 영천시 화남면 천문로 1506,36.05251089,128.8930409,화남면,카페
별담은호수,경상북도 영천시 화북면 은하수길 27,36.12995937,128.9534562,화북면,카페
보현산 녹색체험터 그린카페(카페브리즈),"경상북도 영천시 화북면 천문로 2178, 자천중학교 보현산녹색체험터",36.10565105,128.916722,화북면,카페
보현산 전망대카페,"경상북도 영천시 화북면 천문로 2610, 별빛전망대 3층",36.12702695,128.952743,화북면,카페
봄봄(영천점),"경상북도 영천시 충효로 62, 1층 (문외동)",35.97256005,128.9364667,문외동,카페
봉봉(bonbon),"경상북도 영천시 완산8길 3, 104호 (완산동)",35.96164319,128.9413596,완산동,카페
블루웨이 영천점,"경상북도 영천시 중앙동1길 129, 2층 (문내동)",35.97446325,128.9304906,중앙동,카페
빽다방 영천시청점,경상북도 영천시 충효로 74 (문외동),35.973218,128.9376165,문외동,카페
빽다방 영천완산점,경상북도 영천시 시장로 53 (완산동),35.96359551,128.9360502,완산동,카페
산과보롬,"경상북도 영천시 중앙동1길 103, 106호 (문내동)",35.97499502,128.93165,중앙동,카페
살롱 드 제이드,경상북도 영천시 금호읍 금호로 30,35.92948271,128.8651456,금호읍,카페
샐리(sally),경상북도 영천시 중앙동4길 20 (문외동),35.97316945,128.9334469,중앙동,카페
서원앞,경상북도 영천시 임고면 포은로 446,36.01629192,128.974659,임고면,카페
설렘디저트,"경상북도 영천시 호국로 93-1, 2층 (야사동)",35.97514095,128.9475187,야사동,카페
성아케이크,"경상북도 영천시 창신1길 35, 104호 (망정동, 아이존빌상가 )",35.98992668,128.9526087,망정동,카페
세븐일레븐 영천북안터미널점,경상북도 영천시 북안면 운북로 2032-1,35.91867061,129.008848,북안면,카페
소디스커피,경상북도 영천시 창신2길 27 (망정동),35.98867631,128.95683,망정동,카페
속닥속닥,"경상북도 영천시 금호읍 금호시장길 19, 1층",35.9323609,128.8758935,금호읍,카페
수 갤러리&카페,경상북도 영천시 임고면 포은로 782,36.04265862,128.9851274,임고면,카페
스러운,경상북도 영천시 청산길 24 (전면 좌측 세번째호) 103호 (문외동),35.97350258,128.9358015,전면,카페
스타벅스영천완산디티(DT),"경상북도 영천시 영화로 272, 1,2층 (완산동)",35.9669897,128.9491175,완산동,카페
스타티오,"경상북도 영천시 운동장로 94, 영천시종합스포츠센터 1층 (교촌동)",35.97119228,128.9234116,운동,카페
시애틀,경상북도 영천시 조양길 3 (문내동),35.96805372,128.9329875,문내동,카페
쓰리에이치 카페,경상북도 영천시 망정로 30 (망정동),35.97917473,128.953699,망정동,카페
아버케이크(ARBOR CAKE),"경상북도 영천시 문외1길 47, 1층 (문외동)",35.97129756,128.9342453,문외동,카페
아벨리안 영남대학교병원점,경상북도 영천시 오수1길 10 (오수동),35.95708746,128.9127824,오수동,카페
안녕 첫즙(#안녕_첫즙),경상북도 영천시 호국로 54 (야사동),35.97303495,128.9437126,야사동,카페
어울림센터 운영위원회(어울림카페),"경상북도 영천시 금호읍 교대1길 22, 주1동",35.93255566,128.875142,금호읍,카페
에그마카슈,"경상북도 영천시 역전로 51-3, 1층 (완산동)",35.96052768,128.9387966,완산동,카페
에멍쁘아,경상북도 영천시 천문로 524-52 (오미동),35.98239901,128.9252612,오미동,카페
영천상회(카페),경상북도 영천시 완산로 18 (영천역 방향 2번째호) (완산동),35.961704,128.9393537,완산동,카페
영천이마트 더카페,"경상북도 영천시 최무선로 83 (오수동, 이마트내)",35.95843357,128.9099932,오수동,카페
영천카페 웰시,"경상북도 영천시 포교당뒷길 1, 전면 좌측호 (교촌동)",35.96547467,128.9261942,전면,카페
영천호국정 커피점,"경상북도 영천시 고경면 호국로 1720, 국립영천호국원",35.98182148,129.1099842,고경면,카페
옹'S 베이커리 카페,경상북도 영천시 중앙동3길 88 (문내동),35.97390855,128.929963,중앙동,카페
옹그릭,경상북도 영천시 금호읍 금호로 149-2,35.93269778,128.877892,금호읍,카페
외따로,"경상북도 영천시 교촌길 4-1, 1층 (창구동)",35.96974319,128.9301469,창구동,카페
요거트월드,"경상북도 영천시 충효로 93, 무궁화타운 9호 (문외동)",35.9742781,128.9392035,문외동,카페
우즈베이커리 영천점,"경상북도 영천시 호국로 155, 1,2층 (조교동)",35.97665668,128.9541344,조교동,카페
윈느타임(unetime),"경상북도 영천시 임고면 운주로 14, 2층",36.01656135,128.9758827,임고면,카페
이다숲,"경상북도 영천시 구읍1길 41, 1층 (완산동)",35.96110498,128.935278,구읍,카페
이디야커피 영천장천점,"경상북도 영천시 장천길 9, 1,2층 (조교동)",35.97028924,128.9512858,조교동,카페
이디야커피 완산점,"경상북도 영천시 시장로 128, 1층(104,105호), 2층(202호)호 (완산동)",35.96354751,128.9444643,완산동,카페
쟈빠따 베이커리 영천완산점,"경상북도 영천시 시장로 96, 고은스퀘어 1층(1022~1026호), 2층(2006~2008호)호 (완산동)",35.96300897,128.9407439,완산동,카페
정,"경상북도 영천시 신녕면 갑티로 132, 1층",36.08972786,128.727543,신녕면,카페
주식회사 소울향,"경상북도 영천시 청산3길 15, 1층 (문외동)",35.97469563,128.9376784,문외동,카페
주커피영천금호,경상북도 영천시 금호읍 금호로 32,35.92949881,128.8654118,금호읍,카페
준엔커피(jun&coffee),"경상북도 영천시 최무선로 125, 그린주유소 (오수동)",35.96080862,128.9152975,오수동,카페
착한까페,경상북도 영천시 천문로 398 (문내동),35.97301851,128.9296753,문내동,카페
청춘문화공간 썰툰(본점),"경상북도 영천시 시청로 5, 1층 (문외동)",35.97133899,128.9381708,문외동,카페
카고커피(Car Go Coffee),경상북도 영천시 영천산단로 359 (채신동),35.91435297,128.9481661,채신동,카페
카페 나무,"경상북도 영천시 고경면 백소길 66-2, 1층",35.99532512,129.0445388,고경면,카페
카페 봄봄 영천 2호점,"경상북도 영천시 언하공단로 83, 102호 (망정동)",35.98590958,128.9545453,망정동,카페
카페 빈티지 얀테,"경상북도 영천시 호국로 56, 1층 (야사동)",35.97320356,128.9440472,야사동,카페
카페 어울림,"경상북도 영천시 청산길 83, 영천중문교회 일부 (문외동)",35.97548434,128.9382421,문외동,카페
카페 휘가람,"경상북도 영천시 화남면 천문로 1502-10, 1,2층",36.05207094,128.8940237,화남면,카페
카페다인에,"경상북도 영천시 문화새길 68, 1층 (야사동)",35.9714813,128.9475747,야사동,카페
카페라샹떼(Cafe la sante),경상북도 영천시 청통면 은해사로 208-25,35.98998221,128.7969144,청통면,카페
카페봄봄 서문점,경상북도 영천시 최무선로 204 (성내동),35.96261331,128.9232451,성내동,카페
카페봄봄 영천금호점,"경상북도 영천시 금호읍 금호로 73, 1층",35.93080126,128.869759,금호읍,카페
카페비다,"경상북도 영천시 백신애길 2, 2층 (과전동)",35.96693059,128.9290606,과전동,카페
카페우내,경상북도 영천시 임고면 매호운천길 13-40,35.99759341,128.9642691,임고면,카페
카페채채,"경상북도 영천시 중앙동1길 80, 영천시 시립도서관 1층 (문외동)",35.9754532,128.9329971,중앙동,카페
커피나라 빙수왕,"경상북도 영천시 중앙동1길 28, 1층 (문외동)",35.97313653,128.9342005,중앙동,카페
커피마시기 좋은 날,경상북도 영천시 호국로 55-3 (야사동),35.97349351,128.9438511,야사동,카페
커피베이 영천금호점,경상북도 영천시 금호읍 금호로 137-1,35.93238291,128.8765808,금호읍,카페
커피앤 커피,"경상북도 영천시 금호읍 금호로 165, 1층",35.93333634,128.8793065,금호읍,카페
커피왕,경상북도 영천시 언하공단로 84 (망정동),35.98634242,128.9545173,망정동,카페
커피특별시 완산점,"경상북도 영천시 완산로 20, 101(상가)동 104호 (완산동, 윤창BH홈타운)",35.96196378,128.9395564,완산동,카페
컴포즈커피,"경상북도 영천시 시장로 96, 고은스퀘어 1018호 (완산동)",35.96300897,128.9407439,완산동,카페
컴포즈커피 영천망정점,"경상북도 영천시 창신1길 42, 8호 (망정동, 인터불고코아루아파트)",35.99078106,128.9551032,망정동,카페
